#;Designator;Quantity;Package;Designation;Supplier&partnumber
1;M3;1;LQFP-64;STM32F405RG;ST@STM32F405RGT6
2;C2,C24,C26,C31,C23;5;SM-0805;4.7uF 16v;AVX@0805YC475KAT2A
3;C5;1;SM-0805;0.1uF 100v;AVX@08051C104KAT2A
4;C4,C6,C14,C25,C16,C27,C32,C35,C18,C36,C33,C34,C59,C40,C66,C42,C44,C57,C58,C52,C50,C48,C67;23;SM-0603;0.1uF 25v;AVX@06033C104KAT2A
5;C9,C13;2;SM-0603;12pF;AVX@06031A120JAT4A
6;C8,C20,C7,C37,C38,C28,C65,C29,C30;9;SM-0603;0.01uF 25v;AVX@06033C103KAT2A
7;C11;1;SM-0805;2.2nF 50v;AVX@08055C222KAT2A
8;C10;1;SM-1210;10uF 25v;AVX@12103C106KAT2A
9;C17,C60,C41,C43,C45;5;SM-0805;1uF 25v;AVX@08053C105KAT2A
10;C19,C15;2;SM-0603;180pF;AVX@06031A181JAT2A
11;C21,C22;2;SM-1210;47uF 10v;AVX@1210ZC476KAT2A
12;M1;1;SOT-23-5;TPS61040;TI@TPS61040DBV
13;M4;1;SOT-23-5;TPS73633;TI@TPS73633DBV
14;Q7;1;SOT-23;IRLML6401;INFIN@IRLML6401
15;R18,R20,R19,R21,R14,R15,R16,R17,R26,R4,R27;11;SM-0603;330;YAGEO@AC0603JR-07330RL
16;R1;1;SM-0603;15K;YAGEO@AC0603JR-0715KL
17;R6,R23,R24,R25,R28,R29,R31,R32,R46,R5,R30;11;SM-0603;1K;YAGEO@AC0603JR-071KL
18;R9,R12,R13;3;SM-0603;10K;YAGEO@AC0603JR-0710KL
19;R45;1;SM-0603;47K;YAGEO@AC0603JR-0747KL
20;R10,R7;2;SM-0603;100K 1%;YAGEO@AC0603FR-07100KL
21;R11;1;SM-0603;31.6K 1%;YAGEO@RC0603FR-0731K6L
22;R8;1;SM-0603;13.7K 1%;YAGEO@RC0603FR-0713K7L
23;R2,R33,R35,R34,R36,R59;6;SM-0603;10K 1%;YAGEO@AC0603FR-0710KL
24;R47;1;SM-1206;470;YAGEO@AC1206JR-07470RL
25;Z1;1;SM-Z3225;12MHz;GEYER@12.88662_KX-7-12.0MHz
29;C3,C1;2;SM-1210;2.2uF 100v;AVX@12101C225KAT2A
30;R3,R22;2;SM-0603;1;YAGEO@RC0603JR-071RL
34;D2;1;SM-0805;NSR0320;ONS@NSR0320MW2T1G
35;D3;1;SM-0805;1N4448WS;DIOTEC@1N4448WS
36;D1;1;SM-0603;LED;BRIGHT@BL-HJD36A-AV
37;L2;1;COIL-8;22uH;ABC@SH6028-220YLB
38;L1;1;COIL-3;10uH;ABC@SH3018-100YLB
39;M2;1;PDSO-8;LM5164;TI@LM5164DDA
40;M8;1;SOIC-8;SN65HVD256;TI@SN65HVD256D
42;R51,R58,R57,R56,R49,R50,R48;7;SM-0603;470K 1%;YAGEO@AC0603FR-07470KL
43;R60;1;SM-0805;10K NTC;EWAY@EWTF05-103H3I
44;R55,R54,R53,R52;4;SM-0603;22K 1%;YAGEO@AC0603FR-0727KL
45;C51,C49,C47;3;SM-0805;4.7uF 25v;AVX@08053C475KAT2A
46;U1,U2;2;SOIC-8;AD8418;AD@AD8418WBRZ
47;Q2,Q4,Q6,Q5,Q3,Q1;6;PG-HSOF-8;IPT010N08NM5;INFIN@IPT010N08NM5
48;C56,C54,C53,C55;4;SM-1210;4.7uF 100v;AVX@12101C475KAT2A
49;R44,R43;2;LR2512-4;0.0005 1%;VISHAY@WSLF2512L5000FEA
50;C61,C62,C63,C64;4;SM-0603;1nF C0G;AVX@06033A102JAT2A
51;M5,M6,M7;3;SON-8;UCC27211A;TI@UCC27211ADRM
53;R37,R38,R39,R40,R41,R42;6;SM-0603;2;YAGEO@RC0603JR-072RL
54;U3,U4;2;MSOP-8;AD8539;AD@AD8539ARMZ
57;C39,C46;2;CE-135;680uF 63v;PANASONIC@EEU-FR1J331
